key|english|japanese
BACKUP|Backup|バックアップ
START_BACKUP_PM2|Starting the backup of pm2 process.|pm2プロセスのバックアップを開始します。
STOP_PM2_FIRST|First, stopping the pm2 process.|最初に、pm2プロセスを停止します。
START_BACKUP_PM2_AGAIN|Starting the backup of pm2 process.|pm2プロセスのバックアップを再開します。
SUCCESSFUL_BACKUP|The pm2 process backup was successful.|pm2プロセスのバックアップが成功しました。
PM2_STOPPED_RESTART|pm2 is currently stopped. Would you like to restart pm2 ?|pm2が現在停止しています。pm2を再起動しますか？
NO_RESPONSE_SESSION_END|No response for 30 seconds, session will end.|30秒間応答がなかったため、セッションが終了します。
PM2_REMAINS_STOPPED|pm2 remains stopped.|pm2は停止したままです。
RESTART_PM2|To restart, run pm2 restart all.|再起動するには、pm2 restart allを実行してください。
INVALID_INPUT|Invalid input.|無効な入力です。
DISPLAY_BACKUP_CONTENTS|Displaying contents of backup file.|バックアップファイルの内容を表示しています。
DISPLAY_BACKUP_FILE|Displaying backup file.|バックアップファイルを表示しています。
ALL_BACKUP_FILES_DISPLAYED|All backup files have been displayed.|すべてのバックアップファイルが表示されました。
PRESS_N_NOT_TEN_SHOWN|Press 'n' on the keyboard if there are not 10 shown.|10個表示されていない場合はキーボードで'n'を押してください。(qで終了)
ENDING_SESSION|Ending session as is.|セッションを終了します。
INVALID_INPUT_BESIDES_N_Q|Invalid input besides 'n' or 'q'.|'n'または'q'以外の無効な入力です。
RESTORE|Restore|復元
RESTORE_DISPLAY_LIST|Displaying list of backup files.|バックアップファイルのリストを表示しています。
RESTORE_DISPLAY_NEXT_PAGE|Enter 'n' to display next page.|次のページを表示するには 'n' を入力してください。
RESTORE_ENTER_FILE_NUMBER|Enter the number of the file you want to restore. (q to cancel)|復元したいファイルの番号を入力してください。(キャンセルするには 'q' を入力してください)
RESTORE_INVALID_NUMBER|Invalid input. Please input a valid number.|無効な入力です。有効な番号を入力してください。
RESTORE_NOTE_CHOOSE_PM2|Note: choose pm2process file.|注記: pm2processファイルを選択してください。
RESTORE_RESTORING_FOLLOWING_FILE|Restoring the following file.|次のファイルを復元します。
RESTORE_ARE_YOU_OKAY|Are you okay ?|よろしいですか？
RESTORE_STOPPING_PM2_PROCESS|Stopping pm2 process.|PM2プロセスを停止します。
RESTORE_STARTING_PM2_RESTORATION|Starting PM2 process restoration.|PM2プロセスの復元を開始します。
RESTORE_PM2_RESTORATION_COMPLETE|PM2 process restoration complete.|PM2プロセスの復元が完了しました。
RESTORE_NEXT_RESTART_PM2_SERVICE|Next, restart the pm2 service.|pm2サービスを再起動しています。
RESTORE_SUCCESSFUL_RESTORATION|Successful restoration of pm2 process.|PM2プロセスの復元に成功しました。
RESTORE_RESTORATION_CANCELLED|Restoration cancelled.|復元がキャンセルされました。
RESTORE_ENTER_FILE_NUMBER_AGAIN|Enter the number of the file you want to restore.|復元したいファイルの番号を入力してください。
RESTORE_ENTER_N_TO_DISPLAY_NEXT_PAGE|Enter 'n' to display next page. (q to cancel)|次のページを表示するには 'n' を入力してください。(キャンセルするには 'q' を入力してください)
